Id,Name,Type,Currency,Net Price,Gross Price
1,AD 785,dehumidifier,PLN,96.00,118.08
2,AD 785/1,dehumidifier,PLN,120.33,148.01
3,AD 785/2,dehumidifier,PLN,129.20,158.92
4,AD 785/3,dehumidifier,PLN,173.47,213.37
5,AD 785/4,dehumidifier,PLN,129.93,159.81
6,AD 785/5,dehumidifier,PLN,160.14,196.97
7,AD 785/6,dehumidifier,PLN,252.01,309.97
8,AD 785/7,dehumidifier,PLN,136.38,167.75
9,AD 785/8,dehumidifier,PLN,223.42,274.81
10,AE 208,air filter,PLN,43.38,53.36
11,AE 220,air filter,PLN,32.45,39.91
12,AE 250,air filter,PLN,15.16,18.65
13,AE 251,air filter,PLN,21.30,26.2
14,AE 277,air filter,PLN,26.72,32.87
15,AE 279/1,air filter,PLN,38.84,47.77
16,AE 295,air filter,PLN,26.75,32.9
17,AE 297,air filter,PLN,53.46,65.76
18,AE 311,air filter,PLN,23.89,29.38
19,AE 311/1,air filter,PLN,30.40,37.39
20,AE 320,air filter,PLN,45.28,55.69
21,AE 326,air filter,PLN,74.43,91.55
22,AE 328,air filter,PLN,92.52,113.8
23,AE 331,air filter,PLN,43.17,53.1
24,AE 333/1,air filter,PLN,42.55,52.34
25,AE 335,air filter,PLN,34.12,41.97
26,AE 345/1,air filter,PLN,67.22,82.68
27,AE 347/5,air filter,PLN,31.66,38.94
28,AE 348/3,air filter,PLN,61.85,76.08
29,AE 358,air filter,PLN,53.97,66.38
30,AE 358/2,air filter,PLN,54.33,66.83
31,AE 361,air filter,PLN,66.38,81.65
32,AG 240,air filter,PLN,37.13,45.67
33,AG 281,air filter,PLN,40.04,49.25
34,AK 218/1,air filter,PLN,72.66,89.37
35,AK 218/2,air filter,PLN,67.11,82.55
36,AK 218/3,air filter,PLN,59.95,73.74
37,AK 218/4,air filter,PLN,55.33,68.06
38,AK 218/5,air filter,PLN,56.39,69.36
39,AK 218/6,air filter,PLN,68.26,83.96
40,AK 218/7,air filter,PLN,102.80,126.44
41,AK 218/8,air filter,PLN,108.17,133.05
42,AK 218/9,air filter,PLN,119.97,147.56
43,AK 246,air filter,PLN,30.64,37.69
44,AK 280,air filter,PLN,98.91,121.66
45,AK 284S,air filter,PLN,82.51,101.49
46,AK 287,air filter,PLN,38.76,47.67
47,AK 312,air filter,PLN,44.40,54.61
48,AK 317,air filter,PLN,22.02,27.08
49,AK 337,air filter,PLN,30.06,36.97
50,AK 338/1,air filter,PLN,61.58,75.74
51,AK 341,air filter,PLN,41.85,51.48
52,AK 341/1,air filter,PLN,64.13,78.88
53,AK 347/1,air filter,PLN,26.84,33.01
54,AK 360,air filter,PLN,48.45,59.59
55,AK 360/1,air filter,PLN,68.84,84.67
56,AK 360/2,air filter,PLN,51.15,62.91
57,AK 362,air filter,PLN,69.32,85.26
58,AK 362/1,air filter,PLN,82.62,101.62
59,AK 362/2,air filter,PLN,53.39,65.67
60,AK 362/3,air filter,PLN,48.82,60.05
61,AK 362/4,air filter,PLN,45.31,55.73
62,AK 362/5,air filter,PLN,66.96,82.36
63,AK 362/6,air filter,PLN,140.05,172.26
64,AK 362/7,air filter,PLN,155.96,191.83
65,AK 370/2,air filter,PLN,54.68,67.26
66,AK 370/3,air filter,PLN,64.37,79.18
67,AK 370/4,air filter,PLN,45.21,55.61
68,AK 370/5,air filter,PLN,57.05,70.17
69,AK 371/4,air filter,PLN,62.17,76.47
70,AK 371/5,air filter,PLN,58.38,71.81
71,AK 371/8,air filter,PLN,45.18,55.57
72,AK 372,air filter,PLN,66.22,81.45
73,AK 372/1,air filter,PLN,45.99,56.57
74,AK 375,air filter,PLN,67.93,83.55
75,AK 375/1,air filter,PLN,65.67,80.77
76,AK 375/1,air filter,PLN,65.67,80.77
77,AK 376,air filter,PLN,64.70,79.58
78,AK 376/1,air filter,PLN,66.26,81.5
79,AK 376/2,air filter,PLN,77.53,95.36
80,AK 380/3,air filter,PLN,704.25,866.23
81,AK 380/4,air filter,PLN,553.36,680.63
82,AK 380/5,air filter,PLN,420.50,517.22
83,AK 381,air filter,PLN,135.24,166.35
84,AK 435,air filter,PLN,113.84,140.02
85,AK 790,air filter,PLN,104.53,128.57
86,AM 352/1,air filter,PLN,92.49,113.76
87,AM 352/2,air filter,PLN,93.83,115.41
88,AM 352/3,air filter,PLN,79.93,98.31
89,AM 400,air filter,PLN,77.72,95.6
90,AM 400/1,air filter,PLN,92.02,113.18
91,AM 400/2,air filter,PLN,132.03,162.4
92,AM 400/3,air filter,PLN,199.86,245.83
93,AM 401,air filter,PLN,98.44,121.08
94,AM 401/1,air filter,PLN,145.41,178.85
95,AM 401/2,air filter,PLN,167.99,206.63
96,AM 401/3,air filter,PLN,197.02,242.33
97,AM 401W,air filter,PLN,86.59,106.51
98,AM 402,air filter,PLN,108.36,133.28
99,AM 402/1,air filter,PLN,111.68,137.37
100,AM 402/1W,air filter,PLN,79.45,97.72
101,AM 402W,air filter,PLN,116.29,143.04
102,AM 403,air filter,PLN,93.26,114.71
103,AM 404,air filter,PLN,113.00,138.99
104,AM 404/1,air filter,PLN,182.83,224.88
105,AM 404/1W,air filter,PLN,114.35,140.65
106,AM 404/2W,air filter,PLN,64.07,78.81
107,AM 404W,air filter,PLN,53.71,66.06
108,AM 405,air filter,PLN,83.90,103.2
109,AM 405/1,air filter,PLN,99.94,122.93
110,AM 405W,air filter,PLN,74.93,92.16
111,AM 406,air filter,PLN,72.98,89.77
112,AM 406/1,air filter,PLN,47.98,59.02
113,AM 406/2,air filter,PLN,61.22,75.3
114,AM 407,air filter,PLN,59.74,73.48
115,AM 407/1,air filter,PLN,78.70,96.8
116,AM 408,air filter,PLN,133.23,163.87
117,AM 408/1,air filter,PLN,220.28,270.94
118,AM 408/3,air filter,PLN,256.67,315.7
119,AM 408/4,air filter,PLN,128.23,157.72
120,AM 409,air filter,PLN,122.09,150.17
121,AM 409/1,air filter,PLN,90.59,111.43
122,AM 411,air filter,PLN,75.09,92.36
123,AM 411/1,air filter,PLN,56.39,69.36
124,AM 411/2,air filter,PLN,58.06,71.41
125,AM 411/3,air filter,PLN,66.62,81.94
126,AM 411/4,air filter,PLN,52.96,65.14
127,AM 411W,air filter,PLN,47.61,58.56
128,AM 412,air filter,PLN,37.21,45.77
129,AM 412/1,air filter,PLN,48.15,59.22
130,AM 412/2,air filter,PLN,78.40,96.43
131,AM 412/3,air filter,PLN,70.09,86.21
132,AM 413,air filter,PLN,64.85,79.77
133,AM 414,air filter,PLN,83.23,102.37
134,AM 414W,air filter,PLN,75.66,93.06
135,AM 415,air filter,PLN,89.39,109.95
136,AM 416,air filter,PLN,134.90,165.93
137,AM 416/1,air filter,PLN,135.37,166.51
138,AM 416/2,air filter,PLN,185.88,228.63
139,AM 416/2W,air filter,PLN,95.20,117.1
140,AM 416/3,air filter,PLN,173.06,212.86
141,AM 416/4,air filter,PLN,168.27,206.97
142,AM 416/5,air filter,PLN,180.00,221.4
143,AM 416/6,air filter,PLN,193.83,238.41
144,AM 416/7,air filter,PLN,170.44,209.64
145,AM 416/7W,air filter,PLN,59.28,72.91
146,AM 416/8,air filter,PLN,183.89,226.18
147,AM 417,air filter,PLN,60.22,74.07
148,AM 417/1,air filter,PLN,136.43,167.81
149,AM 418,air filter,PLN,54.25,66.73
150,AM 419,air filter,PLN,98.48,121.13
151,AM 419/1,air filter,PLN,64.62,79.48
152,AM 419/2,air filter,PLN,136.84,168.31
153,AM 419/3,air filter,PLN,124.03,152.56
154,AM 419/5,air filter,PLN,119.29,146.73
155,AM 419/5W,air filter,PLN,64.79,79.69
156,AM 420,air filter,PLN,89.78,110.43
157,AM 420A,air filter,PLN,125.43,154.28
158,AM 420B,air filter,PLN,90.61,111.45
159,AM 420W,air filter,PLN,100.26,123.32
160,AM 422,air filter,PLN,107.54,132.27
161,AM 423,air filter,PLN,229.41,282.17
162,AM 424/1,air filter,PLN,203.38,250.16
163,AM 425,air filter,PLN,176.40,216.97
164,AM 427,air filter,PLN,57.63,70.88
165,AM 428,air filter,PLN,105.41,129.65
166,AM 429,air filter,PLN,171.65,211.13
167,AM 430,air filter,PLN,59.48,73.16
168,AM 430/1,air filter,PLN,81.88,100.71
169,AM 431,air filter,PLN,134.60,165.56
170,AM 432,air filter,PLN,64.77,79.67
171,AM 432/1,air filter,PLN,79.17,97.38
172,AM 433,air filter,PLN,41.23,50.71
173,AM 434,air filter,PLN,94.55,116.3
174,AM 436,air filter,PLN,58.88,72.42
175,AM 436/1,air filter,PLN,45.37,55.81
176,AM 438,air filter,PLN,170.81,210.1
177,AM 439,air filter,PLN,99.94,122.93
178,AM 440,air filter,PLN,148.50,182.66
179,AM 441,air filter,PLN,65.38,80.42
180,AM 441/1,air filter,PLN,73.53,90.44
181,AM 442,air filter,PLN,363.56,447.18
182,AM 442/1,air filter,PLN,291.13,358.09
183,AM 442/1W,air filter,PLN,238.33,293.15
184,AM 442/2,air filter,PLN,275.59,338.98
185,AM 442/3,air filter,PLN,486.30,598.15
186,AM 442/4,air filter,PLN,208.47,256.42
187,AM 442/5,air filter,PLN,224.99,276.74
188,AM 442/5W,air filter,PLN,151.70,186.59
189,AM 442/6,air filter,PLN,215.77,265.4
190,AM 442/7,air filter,PLN,337.65,415.31
191,AM 442/8,air filter,PLN,414.40,509.71
192,AM 442/9,air filter,PLN,215.27,264.78
193,AM 442/9W,air filter,PLN,256.39,315.36
194,AM 444,air filter,PLN,88.06,108.31
195,AM 444/1,air filter,PLN,75.81,93.25
